time_entry_id,employee_id,business_id,date,clock_in,clock_out,break_minutes,total_hours_worked,pay_period,overtime_hours,overtime_reason,notes,created_at,updated_at
TE0022,EMP004,BIZ001,2025-03-01,2025-03-01T08:00:00Z,2025-03-01T16:12:00Z,55,7.28,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0023,EMP004,BIZ001,2025-03-01,2025-03-01T08:00:00Z,2025-03-01T16:42:00Z,44,7.97,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0024,EMP004,BIZ001,2025-03-25,2025-03-25T08:00:00Z,2025-03-25T17:00:00Z,39,8.35,2025-03-01 to 2025-03-15,0.35,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0025,EMP004,BIZ001,2025-03-10,2025-03-10T08:00:00Z,2025-03-10T16:53:00Z,28,8.42,2025-03-16 to 2025-03-31,0.416666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0026,EMP004,BIZ001,2025-03-27,2025-03-27T08:00:00Z,2025-03-27T16:50:00Z,22,8.47,2025-03-16 to 2025-03-31,0.466666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0027,EMP004,BIZ001,2025-03-27,2025-03-27T08:00:00Z,2025-03-27T16:38:00Z,36,8.03,2025-03-01 to 2025-03-15,0.033333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0028,EMP004,BIZ001,2025-03-13,2025-03-13T08:00:00Z,2025-03-13T16:10:00Z,15,7.92,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0029,EMP004,BIZ001,2025-03-07,2025-03-07T08:00:00Z,2025-03-07T16:34:00Z,30,8.07,2025-03-01 to 2025-03-15,0.066666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0030,EMP004,BIZ001,2025-03-15,2025-03-15T08:00:00Z,2025-03-15T16:50:00Z,44,8.1,2025-03-01 to 2025-03-15,0.1,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0031,EMP005,BIZ002,2025-03-09,2025-03-09T08:00:00Z,2025-03-09T16:59:00Z,19,8.67,2025-03-01 to 2025-03-15,0.666666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0032,EMP005,BIZ002,2025-03-17,2025-03-17T08:00:00Z,2025-03-17T16:42:00Z,52,7.83,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0033,EMP005,BIZ002,2025-03-02,2025-03-02T08:00:00Z,2025-03-02T16:14:00Z,24,7.83,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0034,EMP005,BIZ002,2025-03-06,2025-03-06T08:00:00Z,2025-03-06T16:20:00Z,35,7.75,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0035,EMP005,BIZ002,2025-03-31,2025-03-31T08:00:00Z,2025-03-31T16:35:00Z,45,7.83,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0036,EMP005,BIZ002,2025-03-29,2025-03-29T08:00:00Z,2025-03-29T16:18:00Z,32,7.77,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0037,EMP005,BIZ002,2025-03-31,2025-03-31T08:00:00Z,2025-03-31T16:52:00Z,21,8.52,2025-03-01 to 2025-03-15,0.516666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0038,EMP006,BIZ002,2025-03-14,2025-03-14T08:00:00Z,2025-03-14T16:53:00Z,26,8.45,2025-03-16 to 2025-03-31,0.45,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0039,EMP006,BIZ002,2025-03-26,2025-03-26T08:00:00Z,2025-03-26T16:44:00Z,58,7.77,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0040,EMP006,BIZ002,2025-03-07,2025-03-07T08:00:00Z,2025-03-07T16:25:00Z,49,7.6,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0041,EMP006,BIZ002,2025-03-09,2025-03-09T08:00:00Z,2025-03-09T16:04:00Z,40,7.4,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0042,EMP006,BIZ002,2025-03-15,2025-03-15T08:00:00Z,2025-03-15T16:48:00Z,22,8.43,2025-03-01 to 2025-03-15,0.433333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0043,EMP006,BIZ002,2025-03-10,2025-03-10T08:00:00Z,2025-03-10T16:23:00Z,31,7.87,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0044,EMP006,BIZ002,2025-03-15,2025-03-15T08:00:00Z,2025-03-15T16:58:00Z,34,8.4,2025-03-16 to 2025-03-31,0.4,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0045,EMP006,BIZ002,2025-03-02,2025-03-02T08:00:00Z,2025-03-02T16:17:00Z,44,7.55,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0046,EMP006,BIZ002,2025-03-31,2025-03-31T08:00:00Z,2025-03-31T16:27:00Z,38,7.82,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0047,EMP006,BIZ002,2025-03-01,2025-03-01T08:00:00Z,2025-03-01T16:13:00Z,39,7.57,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0048,EMP007,BIZ002,2025-03-26,2025-03-26T08:00:00Z,2025-03-26T16:34:00Z,51,7.72,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0049,EMP007,BIZ002,2025-03-30,2025-03-30T08:00:00Z,2025-03-30T16:16:00Z,26,7.83,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0050,EMP007,BIZ002,2025-03-10,2025-03-10T08:00:00Z,2025-03-10T16:52:00Z,54,7.97,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0051,EMP007,BIZ002,2025-03-21,2025-03-21T08:00:00Z,2025-03-21T16:34:00Z,27,8.12,2025-03-16 to 2025-03-31,0.116666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0052,EMP007,BIZ002,2025-03-19,2025-03-19T08:00:00Z,2025-03-19T16:04:00Z,26,7.63,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0053,EMP007,BIZ002,2025-03-25,2025-03-25T08:00:00Z,2025-03-25T16:29:00Z,55,7.57,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0054,EMP007,BIZ002,2025-03-08,2025-03-08T08:00:00Z,2025-03-08T16:09:00Z,39,7.5,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0055,EMP007,BIZ002,2025-03-31,2025-03-31T08:00:00Z,2025-03-31T16:19:00Z,22,7.95,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0056,EMP008,BIZ002,2025-03-13,2025-03-13T08:00:00Z,2025-03-13T16:00:00Z,30,7.5,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0057,EMP008,BIZ002,2025-03-20,2025-03-20T08:00:00Z,2025-03-20T16:58:00Z,59,7.98,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0058,EMP008,BIZ002,2025-03-18,2025-03-18T08:00:00Z,2025-03-18T16:10:00Z,48,7.37,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0059,EMP008,BIZ002,2025-03-17,2025-03-17T08:00:00Z,2025-03-17T16:59:00Z,27,8.53,2025-03-16 to 2025-03-31,0.533333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0060,EMP008,BIZ002,2025-03-30,2025-03-30T08:00:00Z,2025-03-30T16:29:00Z,39,7.83,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0061,EMP008,BIZ002,2025-03-16,2025-03-16T08:00:00Z,2025-03-16T16:42:00Z,19,8.38,2025-03-01 to 2025-03-15,0.383333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0062,EMP008,BIZ002,2025-03-13,2025-03-13T08:00:00Z,2025-03-13T16:11:00Z,37,7.57,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0063,EMP008,BIZ002,2025-03-16,2025-03-16T08:00:00Z,2025-03-16T16:09:00Z,23,7.77,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0064,EMP008,BIZ002,2025-03-24,2025-03-24T08:00:00Z,2025-03-24T16:08:00Z,51,7.28,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0065,EMP009,BIZ003,2025-03-17,2025-03-17T08:00:00Z,2025-03-17T16:00:00Z,45,7.25,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0066,EMP009,BIZ003,2025-03-16,2025-03-16T08:00:00Z,2025-03-16T16:08:00Z,29,7.65,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0067,EMP009,BIZ003,2025-03-02,2025-03-02T08:00:00Z,2025-03-02T16:50:00Z,17,8.55,2025-03-01 to 2025-03-15,0.55,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0068,EMP009,BIZ003,2025-03-17,2025-03-17T08:00:00Z,2025-03-17T16:31:00Z,48,7.72,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0069,EMP009,BIZ003,2025-03-29,2025-03-29T08:00:00Z,2025-03-29T16:20:00Z,41,7.65,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0070,EMP009,BIZ003,2025-03-20,2025-03-20T08:00:00Z,2025-03-20T16:25:00Z,47,7.63,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0071,EMP009,BIZ003,2025-03-12,2025-03-12T08:00:00Z,2025-03-12T16:54:00Z,40,8.23,2025-03-16 to 2025-03-31,0.233333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0072,EMP009,BIZ003,2025-03-23,2025-03-23T08:00:00Z,2025-03-23T16:03:00Z,58,7.08,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0073,EMP010,BIZ003,2025-03-10,2025-03-10T08:00:00Z,2025-03-10T16:20:00Z,15,8.08,2025-03-01 to 2025-03-15,0.083333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0074,EMP010,BIZ003,2025-03-27,2025-03-27T08:00:00Z,2025-03-27T16:49:00Z,39,8.17,2025-03-16 to 2025-03-31,0.166666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0075,EMP010,BIZ003,2025-03-13,2025-03-13T08:00:00Z,2025-03-13T16:17:00Z,20,7.95,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0076,EMP010,BIZ003,2025-03-13,2025-03-13T08:00:00Z,2025-03-13T16:18:00Z,34,7.73,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0077,EMP010,BIZ003,2025-03-09,2025-03-09T08:00:00Z,2025-03-09T16:11:00Z,51,7.33,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0078,EMP010,BIZ003,2025-03-17,2025-03-17T08:00:00Z,2025-03-17T16:57:00Z,20,8.62,2025-03-16 to 2025-03-31,0.616666667,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0079,EMP011,BIZ003,2025-03-28,2025-03-28T08:00:00Z,2025-03-28T16:43:00Z,17,8.43,2025-03-01 to 2025-03-15,0.433333333,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0080,EMP011,BIZ003,2025-03-15,2025-03-15T08:00:00Z,2025-03-15T16:18:00Z,27,7.85,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0081,EMP011,BIZ003,2025-03-13,2025-03-13T08:00:00Z,2025-03-13T16:35:00Z,51,7.73,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0082,EMP011,BIZ003,2025-03-16,2025-03-16T08:00:00Z,2025-03-16T16:38:00Z,35,8.05,2025-03-01 to 2025-03-15,0.05,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0083,EMP011,BIZ003,2025-03-01,2025-03-01T08:00:00Z,2025-03-01T16:21:00Z,60,7.35,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0084,EMP011,BIZ003,2025-03-06,2025-03-06T08:00:00Z,2025-03-06T16:27:00Z,51,7.6,2025-03-01 to 2025-03-15,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0085,EMP011,BIZ003,2025-03-10,2025-03-10T08:00:00Z,2025-03-10T16:48:00Z,15,8.55,2025-03-16 to 2025-03-31,0.55,Extended work hours,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0086,EMP011,BIZ003,2025-03-15,2025-03-15T08:00:00Z,2025-03-15T16:06:00Z,50,7.27,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
TE0087,EMP011,BIZ003,2025-03-29,2025-03-29T08:00:00Z,2025-03-29T16:37:00Z,38,7.98,2025-03-16 to 2025-03-31,0,,,2025-03-19T20:11:53Z,2025-03-19T20:11:53Z
