payroll_id,employee_id,pay_period_id,hours_worked_regular,hours_worked_overtime,gross_pay,total_deductions,total_taxes,net_pay,created_at,updated_at
20,4,2,40,0,1797.29,155.91,364.32,1277.05,2025-03-21 00:10:54.548570,2025-03-21 00:10:54.548571
21,4,3,25,7,738.63,60.23,207.71,470.69,2025-03-21 00:10:54.548696,2025-03-21 00:10:54.548697
22,4,5,38,0,2266.77,264.61,450.78,1551.38,2025-03-21 00:10:54.548806,2025-03-21 00:10:54.548806
23,4,6,30,0,524.8,68.78,83.03,372.99,2025-03-21 00:10:54.548870,2025-03-21 00:10:54.548871
24,4,7,35,0,687.74,85.97,128.04,473.73,2025-03-21 00:10:54.548933,2025-03-21 00:10:54.548933
25,4,8,16,0,602.98,80.83,102.91,419.24,2025-03-21 00:10:54.549022,2025-03-21 00:10:54.549023
26,4,9,40,1,2272.92,337.01,420.84,1515.07,2025-03-21 00:10:54.549148,2025-03-21 00:10:54.549149
27,5,1,17,0,934.21,115.42,228.36,590.44,2025-03-21 00:10:54.549528,2025-03-21 00:10:54.549530
28,5,2,36,0,1058.44,109.66,189.0,759.79,2025-03-21 00:10:54.549638,2025-03-21 00:10:54.549639
29,5,3,38,0,1808.42,93.58,468.24,1246.61,2025-03-21 00:10:54.549726,2025-03-21 00:10:54.549727
30,5,4,32,0,729.6,104.32,130.95,494.33,2025-03-21 00:10:54.549945,2025-03-21 00:10:54.549947
31,5,6,30,0,740.66,63.32,165.84,511.49,2025-03-21 00:10:54.550186,2025-03-21 00:10:54.550188
32,5,7,31,0,600.37,67.0,135.28,398.1,2025-03-21 00:10:54.550283,2025-03-21 00:10:54.550284
33,5,8,28,0,464.35,45.84,129.86,288.66,2025-03-21 00:10:54.550375,2025-03-21 00:10:54.550376
34,5,9,33,0,781.13,71.23,197.24,512.66,2025-03-21 00:10:54.550442,2025-03-21 00:10:54.550443
35,6,1,37,2,2102.2,245.29,626.61,1230.31,2025-03-21 00:10:54.550696,2025-03-21 00:10:54.550697
36,6,3,37,0,885.67,48.17,254.42,583.08,2025-03-21 00:10:54.550865,2025-03-21 00:10:54.550866
37,6,7,32,0,625.88,57.67,174.38,393.83,2025-03-21 00:10:54.551086,2025-03-21 00:10:54.551087
38,6,8,38,1,1095.07,152.46,306.46,636.15,2025-03-21 00:10:54.551189,2025-03-21 00:10:54.551190
39,7,2,32,0,1366.8,150.3,255.03,961.46,2025-03-21 00:10:54.551523,2025-03-21 00:10:54.551525
40,7,3,32,8,2198.13,153.3,350.53,1694.3,2025-03-21 00:10:54.551608,2025-03-21 00:10:54.551609
41,7,4,32,0,514.71,38.99,114.53,361.19,2025-03-21 00:10:54.551679,2025-03-21 00:10:54.551679
42,7,5,33,0,981.91,120.91,186.13,674.87,2025-03-21 00:10:54.551742,2025-03-21 00:10:54.551743
43,7,6,25,9,1075.56,106.23,252.55,716.77,2025-03-21 00:10:54.551816,2025-03-21 00:10:54.551817
44,7,7,16,0,800.23,88.29,203.53,508.41,2025-03-21 00:10:54.551930,2025-03-21 00:10:54.551931
45,7,8,32,0,778.77,51.11,140.34,587.32,2025-03-21 00:10:54.552043,2025-03-21 00:10:54.552045
46,7,9,37,7,763.21,52.83,205.04,505.34,2025-03-21 00:10:54.552172,2025-03-21 00:10:54.552173
47,8,2,33,0,1790.07,264.62,339.5,1185.95,2025-03-21 00:10:54.552485,2025-03-21 00:10:54.552486
48,8,3,24,0,952.01,88.82,205.75,657.43,2025-03-21 00:10:54.552580,2025-03-21 00:10:54.552581
49,8,4,37,0,2104.3,196.15,461.47,1446.69,2025-03-21 00:10:54.552652,2025-03-21 00:10:54.552652
50,8,6,33,8,1250.83,179.85,256.92,814.06,2025-03-21 00:10:54.552777,2025-03-21 00:10:54.552778
51,8,7,31,8,779.75,97.99,162.78,518.98,2025-03-21 00:10:54.552884,2025-03-21 00:10:54.552885
52,8,8,25,0,652.01,76.56,125.2,450.25,2025-03-21 00:10:54.552952,2025-03-21 00:10:54.552953
53,8,9,40,0,2218.83,144.49,360.24,1714.1,2025-03-21 00:10:54.553015,2025-03-21 00:10:54.553016
54,9,1,40,0,1445.77,186.19,349.48,910.1,2025-03-21 00:10:54.553380,2025-03-21 00:10:54.553382
55,9,3,23,0,525.88,37.9,101.44,386.54,2025-03-21 00:10:54.553526,2025-03-21 00:10:54.553527
56,9,4,32,0,705.2,68.81,145.99,490.39,2025-03-21 00:10:54.553621,2025-03-21 00:10:54.553622
57,9,5,34,1,871.99,77.81,202.31,591.88,2025-03-21 00:10:54.553702,2025-03-21 00:10:54.553702
58,9,6,30,0,1328.18,103.58,393.62,830.98,2025-03-21 00:10:54.553786,2025-03-21 00:10:54.553787
59,9,7,30,5,1206.67,75.88,346.49,784.31,2025-03-21 00:10:54.553874,2025-03-21 00:10:54.553875
60,9,9,25,0,1298.34,187.22,278.16,832.96,2025-03-21 00:10:54.553976,2025-03-21 00:10:54.553977
61,10,1,21,0,1058.73,85.98,191.99,780.75,2025-03-21 00:10:54.554532,2025-03-21 00:10:54.554533
62,10,2,31,5,1706.98,86.14,347.37,1273.47,2025-03-21 00:10:54.554683,2025-03-21 00:10:54.554684
63,10,4,23,0,631.12,38.02,164.5,428.6,2025-03-21 00:10:54.554821,2025-03-21 00:10:54.554822
64,10,5,33,2,2128.34,311.86,433.86,1382.63,2025-03-21 00:10:54.554923,2025-03-21 00:10:54.554924
65,10,6,24,0,754.92,108.2,161.4,485.32,2025-03-21 00:10:54.554999,2025-03-21 00:10:54.555000
66,10,8,31,0,496.88,53.71,143.14,300.02,2025-03-21 00:10:54.555136,2025-03-21 00:10:54.555137
67,11,1,39,0,640.63,83.98,184.8,371.84,2025-03-21 00:10:54.555490,2025-03-21 00:10:54.555491
68,11,2,16,0,418.17,45.31,78.54,294.31,2025-03-21 00:10:54.555588,2025-03-21 00:10:54.555590
69,11,3,31,0,1777.62,98.18,341.1,1338.34,2025-03-21 00:10:54.555688,2025-03-21 00:10:54.555689
70,11,5,39,0,984.56,99.11,148.65,736.81,2025-03-21 00:10:54.555792,2025-03-21 00:10:54.555793
71,11,6,36,0,1645.06,236.8,293.34,1114.93,2025-03-21 00:10:54.555862,2025-03-21 00:10:54.555864
72,11,7,26,7,625.1,60.71,127.58,436.81,2025-03-21 00:10:54.555944,2025-03-21 00:10:54.555944
73,11,8,34,0,1725.19,253.74,445.83,1025.62,2025-03-21 00:10:54.556018,2025-03-21 00:10:54.556019
74,11,9,39,0,2284.87,230.35,466.67,1587.85,2025-03-21 00:10:54.556105,2025-03-21 00:10:54.556106
